Marka;Ile;Suma Cen;Średni Przebieg
Toyota;4;406884;186642.0
Mazda;3;324889;117250.33
Skoda;7;537614;217044.14
Dacia;2;226706;208823.0
Fiat;3;180232;124733.0
BMW;4;401665;121991.0
Seat;3;204116;71755.0
Audi;4;402180;127590.75
Citroen;3;238337;222579.67
Kia;2;155402;202943.0
Chrysler;1;127878;83347.0
Opel;3;220827;266219.67
Mercedes;2;207220;135875.0
Honda;1;46733;262556.0
Ford;3;218212;120493.0
Volvo;1;77119;58368.0
Peugeot;2;136965;140365.0
Alfa Romeo;2;62175;136266.5
Chevrolet;2;168104;187684.0
Aston Martin;1;53833;54917.0
Volswagen;1;10029;212862.0
Chrysler;5;599601;140117.6
Volvo;5;430676;178299.6
Peugeot;4;344962;228712.25
Mercedes;2;56283;185237.5
Audi;2;167096;115292.0
Honda;2;199786;256469.5
Dacia;2;87926;114563.0
Renault;2;188636;160838.0
Volswagen;3;172326;143382.0
Ford;2;129035;141206.5
Opel;2;103507;92693.0
Chevrolet;5;292561;185720.4
BMW;2;149389;144393.0
Daewoo;4;341785;185143.25
Alfa Romeo;2;238994;143307.5
Fiat;1;113399;204162.0
Kia;1;40021;133201.0
Toyota;2;217737;184235.5
Seat;1;132189;295173.0
Aston Martin;2;236303;210906.0
