Marka;Ile;Suma Cen;Średni Przebieg
Toyota;4;406884;186642.0
Mazda;3;324889;117250.33
Skoda;7;537614;217044.14
Dacia;2;226706;208823.0
Fiat;3;180232;124733.0
BMW;4;401665;121991.0
Seat;3;204116;71755.0
Audi;4;402180;127590.75
Citroen;3;238337;222579.67
Kia;2;155402;202943.0
Chrysler;1;127878;83347.0
Opel;3;220827;266219.67
Mercedes;2;207220;135875.0
Honda;1;46733;262556.0
Ford;3;218212;120493.0
Volvo;1;77119;58368.0
Peugeot;2;136965;140365.0
Alfa Romeo;2;62175;136266.5
Chevrolet;2;168104;187684.0
Aston Martin;1;53833;54917.0
Volswagen;1;10029;212862.0
